,Food_name,Food_Group,Descrip,ingredient,Value
256,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Carb_g,49.29
257,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Carb_g,30.19
258,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Carb_g,2.9
259,Chocolate,Chocolate,Chocolate syrup,Carb_g,65.1
260,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Carb_g,0.72
261,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Carb_g,60.7
262,Palm oil,Oil,"Oil, palm",Carb_g,0.0
263,Canola oil,Oil,"Oil, grapeseed",Carb_g,0.0
264,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Carb_g,0.0
265,Olive oil,Oil,"Oil, olive, salad or cooking",Carb_g,0.0
266,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Carb_g,0.0
267,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Carb_g,0.12
268,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Carb_g,0.0
269,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
270,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
271,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
272,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Carb_g,0.0
273,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Carb_g,0.0
274,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Carb_g,0.0
275,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Carb_g,0.0
276,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Sugar_g,22.1
277,Potatoes,Vegetables,"Potatoes, raw, skin",Sugar_g,0.0
278,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Sugar_g,1.7
279,Cabbage,Vegetables,"Cabbage, mustard, salted",Sugar_g,1.4
280,Peas,Vegetables,"Peas, green, raw",Sugar_g,5.67
281,Tomatoes,Vegetables,"Tomatoes, green, raw",Sugar_g,4.0
282,Onion,Vegetables,"Onions, raw",Sugar_g,4.24
283,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Sugar_g,3.9
284,Eggplant,Vegetables,"Eggplant, raw",Sugar_g,3.53
285,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Sugar_g,3.0
286,Garlic,Vegetables,"Garlic, raw",Sugar_g,1.0
287,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Sugar_g,2.38
288,Okra,Vegetables,"Okra, raw",Sugar_g,1.48
289,Spinach,Vegetables,"Spinach, raw",Sugar_g,0.42
290,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Sugar_g,3.22
291,Cucumber,Vegetables,"Cucumber, with peel, raw",Sugar_g,1.67
292,Lettuce,Vegetables,"Lettuce, green leaf, raw",Sugar_g,0.78
293,Orange,Fruits,"Oranges, raw, all commercial varieties",Sugar_g,9.35
294,Bananas,Fruits,"Bananas, raw",Sugar_g,12.23
295,Apples,Fruits,"Apples, raw, with skin",Sugar_g,10.39
296,Blackberries,Fruits,"Blackberries, raw",Sugar_g,4.88
297,Blueberries,Fruits,"Blueberries, raw",Sugar_g,9.96
298,Strawberries,Fruits,"Strawberries, raw",Sugar_g,4.89
299,Grapes,Fruits,"Grapes, american type (slip skin), raw",Sugar_g,16.25
300,Pomegranate,Fruits,"Pomegranates, raw",Sugar_g,13.67
301,Watermelon,Fruits,"Watermelon, raw",Sugar_g,6.2
302,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Sugar_g,3.99
303,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Sugar_g,4.74
304,Cheese,Dariy and Eggs,"Cheese, brick",Sugar_g,0.51
305,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Sugar_g,0.0
306,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Sugar_g,3.34
307,Cream,Dariy and Eggs,"Cheese, cream",Sugar_g,3.21
308,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Sugar_g,4.66
309,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Sugar_g,0.0
310,Wine,Beverages,"Alcoholic beverage, wine, table, all",Sugar_g,0.79
311,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Sugar_g,0.0
312,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Sugar_g,6.11
313,Lemon Juice,Beverages,"Lemon juice, raw",Sugar_g,2.52
314,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Sugar_g,0.0
315,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Sugar_g,0.0
316,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Sugar_g,0.0
317,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Sugar_g,0.0
318,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",Sugar_g,0.0
319,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",Sugar_g,0.43
320,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",Sugar_g,0.0
321,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",Sugar_g,0.0
322,Bread(rye),Bread and Grains,"Bread, rye",Sugar_g,3.85
323,Porridge,Bread and Grains,"Breakfast cereal, milk added",Sugar_g,3.84
324,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",Sugar_g,0.12
325,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Sugar_g,2.99
326,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Sugar_g,5.91
327,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Sugar_g,1.31
328,Chocolate,Chocolate,Chocolate syrup,Sugar_g,49.65
329,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Sugar_g,0.37
330,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Sugar_g,0.0
331,Palm oil,Oil,"Oil, palm",Sugar_g,0.0
332,Canola oil,Oil,"Oil, grapeseed",Sugar_g,0.0
333,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Sugar_g,0.0
334,Olive oil,Oil,"Oil, olive, salad or cooking",Sugar_g,0.0
335,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Sugar_g,0.0
336,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Sugar_g,0.0
337,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Sugar_g,0.0
338,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Sugar_g,0.0
339,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Sugar_g,0.0
340,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Sugar_g,0.0
341,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Sugar_g,0.0
342,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Sugar_g,0.0
343,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Sugar_g,0.0
344,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Sugar_g,0.0
345,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Fiber_g,6.1
346,Potatoes,Vegetables,"Potatoes, raw, skin",Fiber_g,2.5
347,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Fiber_g,1.8
348,Cabbage,Vegetables,"Cabbage, mustard, salted",Fiber_g,3.1
349,Peas,Vegetables,"Peas, green, raw",Fiber_g,5.1
350,Tomatoes,Vegetables,"Tomatoes, green, raw",Fiber_g,1.1
351,Onion,Vegetables,"Onions, raw",Fiber_g,1.7
352,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Fiber_g,1.8
353,Eggplant,Vegetables,"Eggplant, raw",Fiber_g,3.0
354,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Fiber_g,2.2
355,Garlic,Vegetables,"Garlic, raw",Fiber_g,2.1
356,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Fiber_g,2.5
357,Okra,Vegetables,"Okra, raw",Fiber_g,3.2
358,Spinach,Vegetables,"Spinach, raw",Fiber_g,2.2
359,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Fiber_g,2.7
360,Cucumber,Vegetables,"Cucumber, with peel, raw",Fiber_g,0.5
361,Lettuce,Vegetables,"Lettuce, green leaf, raw",Fiber_g,1.3
362,Orange,Fruits,"Oranges, raw, all commercial varieties",Fiber_g,2.4
363,Bananas,Fruits,"Bananas, raw",Fiber_g,2.6
364,Apples,Fruits,"Apples, raw, with skin",Fiber_g,2.4
365,Blackberries,Fruits,"Blackberries, raw",Fiber_g,5.3
366,Blueberries,Fruits,"Blueberries, raw",Fiber_g,2.4
367,Strawberries,Fruits,"Strawberries, raw",Fiber_g,2.0
368,Grapes,Fruits,"Grapes, american type (slip skin), raw",Fiber_g,0.9
369,Pomegranate,Fruits,"Pomegranates, raw",Fiber_g,4.0
370,Watermelon,Fruits,"Watermelon, raw",Fiber_g,0.4
371,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Fiber_g,0.6
372,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Fiber_g,0.0
373,Cheese,Dariy and Eggs,"Cheese, brick",Fiber_g,0.0
374,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Fiber_g,0.0
375,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Fiber_g,2.2
376,Cream,Dariy and Eggs,"Cheese, cream",Fiber_g,0.0
377,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Fiber_g,0.0
378,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Fiber_g,0.0
379,Wine,Beverages,"Alcoholic beverage, wine, table, all",Fiber_g,0.0
380,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Fiber_g,0.0
381,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Fiber_g,0.0
382,Lemon Juice,Beverages,"Lemon juice, raw",Fiber_g,0.3
383,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Fiber_g,0.0
384,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Fiber_g,0.0
385,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Fiber_g,0.0
386,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Fiber_g,0.0
387,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",Fiber_g,0.0
388,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",Fiber_g,0.1
389,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",Fiber_g,0.0
390,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",Fiber_g,0.0
391,Bread(rye),Bread and Grains,"Bread, rye",Fiber_g,5.8
392,Porridge,Bread and Grains,"Breakfast cereal, milk added",Fiber_g,9.0
393,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",Fiber_g,1.3
394,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Fiber_g,20.8
395,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Fiber_g,3.3
396,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Fiber_g,0.1
397,Chocolate,Chocolate,Chocolate syrup,Fiber_g,2.6
398,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Fiber_g,0.0
399,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Fiber_g,25.1
400,Palm oil,Oil,"Oil, palm",Fiber_g,0.0
401,Canola oil,Oil,"Oil, grapeseed",Fiber_g,0.0
402,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Fiber_g,0.0
403,Olive oil,Oil,"Oil, olive, salad or cooking",Fiber_g,0.0
404,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Fiber_g,0.0
405,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Fiber_g,0.0
406,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Fiber_g,0.0
407,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Fiber_g,0.0
408,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Fiber_g,0.0
409,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Fiber_g,0.0
410,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Fiber_g,0.0
411,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Fiber_g,0.0
412,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Fiber_g,0.0
413,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Fiber_g,0.0
414,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",VitA_mcg,0.0
415,Potatoes,Vegetables,"Potatoes, raw, skin",VitA_mcg,0.0
416,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",VitA_mcg,1.0
417,Cabbage,Vegetables,"Cabbage, mustard, salted",VitA_mcg,49.0
418,Peas,Vegetables,"Peas, green, raw",VitA_mcg,38.0
419,Tomatoes,Vegetables,"Tomatoes, green, raw",VitA_mcg,32.0
420,Onion,Vegetables,"Onions, raw",VitA_mcg,0.0
421,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",VitA_mcg,83.0
422,Eggplant,Vegetables,"Eggplant, raw",VitA_mcg,1.0
423,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",VitA_mcg,1.0
424,Garlic,Vegetables,"Garlic, raw",VitA_mcg,0.0
425,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",VitA_mcg,0.0
426,Okra,Vegetables,"Okra, raw",VitA_mcg,36.0
427,Spinach,Vegetables,"Spinach, raw",VitA_mcg,469.0
428,Sweetcorn,Vegetables,"Corn, sweet, white, raw",VitA_mcg,0.0
429,Cucumber,Vegetables,"Cucumber, with peel, raw",VitA_mcg,5.0
430,Lettuce,Vegetables,"Lettuce, green leaf, raw",VitA_mcg,370.0
431,Orange,Fruits,"Oranges, raw, all commercial varieties",VitA_mcg,11.0
432,Bananas,Fruits,"Bananas, raw",VitA_mcg,3.0
433,Apples,Fruits,"Apples, raw, with skin",VitA_mcg,3.0
434,Blackberries,Fruits,"Blackberries, raw",VitA_mcg,11.0
435,Blueberries,Fruits,"Blueberries, raw",VitA_mcg,3.0
436,Strawberries,Fruits,"Strawberries, raw",VitA_mcg,1.0
437,Grapes,Fruits,"Grapes, american type (slip skin), raw",VitA_mcg,5.0
438,Pomegranate,Fruits,"Pomegranates, raw",VitA_mcg,0.0
439,Watermelon,Fruits,"Watermelon, raw",VitA_mcg,28.0
440,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",VitA_mcg,0.0
441,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",VitA_mcg,2.0
442,Cheese,Dariy and Eggs,"Cheese, brick",VitA_mcg,292.0
443,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",VitA_mcg,44.0
444,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",VitA_mcg,0.0
445,Cream,Dariy and Eggs,"Cheese, cream",VitA_mcg,366.0
446,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",VitA_mcg,27.0
447,Beer,Beverages,"Alcoholic beverage, beer, regular, all",VitA_mcg,0.0
448,Wine,Beverages,"Alcoholic beverage, wine, table, all",VitA_mcg,0.0
449,Coffee(instant),Beverages,"Coffee, instant, regular, powder",VitA_mcg,0.0
450,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",VitA_mcg,0.0
451,Lemon Juice,Beverages,"Lemon juice, raw",VitA_mcg,0.0
452,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",VitA_mcg,0.0
453,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",VitA_mcg,15.0
454,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",VitA_mcg,84.0
455,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",VitA_mcg,32.0
456,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",VitA_mcg,12.0
457,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",VitA_mcg,34.0
458,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",VitA_mcg,655.0
459,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",VitA_mcg,50.0
460,Bread(rye),Bread and Grains,"Bread, rye",VitA_mcg,0.0
461,Porridge,Bread and Grains,"Breakfast cereal, milk added",VitA_mcg,0.0
462,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",VitA_mcg,0.0
463,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",VitA_mcg,5.0
464,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",VitA_mcg,0.0
465,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",VitA_mcg,0.0
466,Chocolate,Chocolate,Chocolate syrup,VitA_mcg,0.0
467,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",VitA_mcg,160.0
468,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",VitA_mcg,0.0
469,Palm oil,Oil,"Oil, palm",VitA_mcg,0.0
470,Canola oil,Oil,"Oil, grapeseed",VitA_mcg,0.0
471,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",VitA_mcg,0.0
472,Olive oil,Oil,"Oil, olive, salad or cooking",VitA_mcg,0.0
473,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",VitA_mcg,0.0
474,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",VitA_mcg,0.0
475,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",VitA_mcg,0.0
476,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",VitA_mcg,0.0
477,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",VitA_mcg,0.0
478,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",VitA_mcg,0.0
479,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",VitA_mcg,0.0
480,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",VitA_mcg,2.0
481,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",VitA_mcg,2.0
482,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",VitA_mcg,45.0
483,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",VitC_mg,0.0
484,Potatoes,Vegetables,"Potatoes, raw, skin",VitC_mg,11.4
485,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",VitC_mg,20.6
486,Cabbage,Vegetables,"Cabbage, mustard, salted",VitC_mg,0.0
487,Peas,Vegetables,"Peas, green, raw",VitC_mg,40.0
488,Tomatoes,Vegetables,"Tomatoes, green, raw",VitC_mg,23.4
489,Onion,Vegetables,"Onions, raw",VitC_mg,7.4
490,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",VitC_mg,12.0
491,Eggplant,Vegetables,"Eggplant, raw",VitC_mg,2.2
492,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",VitC_mg,4.0
493,Garlic,Vegetables,"Garlic, raw",VitC_mg,31.2
494,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",VitC_mg,0.0
495,Okra,Vegetables,"Okra, raw",VitC_mg,23.0
496,Spinach,Vegetables,"Spinach, raw",VitC_mg,28.1
497,Sweetcorn,Vegetables,"Corn, sweet, white, raw",VitC_mg,6.8
498,Cucumber,Vegetables,"Cucumber, with peel, raw",VitC_mg,2.8
499,Lettuce,Vegetables,"Lettuce, green leaf, raw",VitC_mg,9.2
500,Orange,Fruits,"Oranges, raw, all commercial varieties",VitC_mg,53.2
501,Bananas,Fruits,"Bananas, raw",VitC_mg,8.7
502,Apples,Fruits,"Apples, raw, with skin",VitC_mg,4.6
503,Blackberries,Fruits,"Blackberries, raw",VitC_mg,21.0
504,Blueberries,Fruits,"Blueberries, raw",VitC_mg,9.7
505,Strawberries,Fruits,"Strawberries, raw",VitC_mg,58.8
506,Grapes,Fruits,"Grapes, american type (slip skin), raw",VitC_mg,4.0
507,Pomegranate,Fruits,"Pomegranates, raw",VitC_mg,10.2
508,Watermelon,Fruits,"Watermelon, raw",VitC_mg,8.1
509,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",VitC_mg,0.0
510,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",VitC_mg,0.9
511,Cheese,Dariy and Eggs,"Cheese, brick",VitC_mg,0.0
512,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",VitC_mg,4.2
513,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",VitC_mg,2.8
